model,task_no,vectorizer,ngram,max_iter,C,gamma,tree_param,n_estimator,lrate,batch_size,num_epoch,weight_decay,test_accuracy,wall_time,run_time
LinearSVM,1,cbow,1,100000,,,,0,0,0,0,0,0.7144221585482331,4.453680515289307,2024-11-21 15:07:43
LinearSVM,2,tfidf,1,100000,,,,0,0,0,0,0,0.7344794651384909,0.1773357391357422,2024-11-21 15:07:44
LinearSVM,3,cbow,2,100000,,,,0,0,0,0,0,0.731614135625597,20.144270658493042,2024-11-21 15:08:08
LinearSVM,4,tfidf,2,100000,,,,0,0,0,0,0,0.7736389684813754,0.3331785202026367,2024-11-21 15:08:13
LinearSVM,5,cbow,3,100000,,,,0,0,0,0,0,0.7277936962750716,42.251575231552124,2024-11-21 15:09:03
LinearSVM,6,tfidf,3,100000,,,,0,0,0,0,0,0.778414517669532,0.6435573101043701,2024-11-21 15:09:11
