model,task_no,vectorizer,ngram,max_iter,C,gamma,tree_param,n_estimator,lrate,test_accuracy,wall_time,run_time
LinearSVM,1,cbow,1,100000,,,,0,0,0.7144221585482331,7.799610614776611,2024-11-20 16:52:55
LinearSVM,2,tfidf,1,100000,,,,0,0,0.7344794651384909,0.3218257427215576,2024-11-20 16:52:58
LinearSVM,3,cbow,2,100000,,,,0,0,0.731614135625597,35.546260833740234,2024-11-20 16:53:39
LinearSVM,4,tfidf,2,100000,,,,0,0,0.7736389684813754,0.616426944732666,2024-11-20 16:53:46
LinearSVM,5,cbow,3,100000,,,,0,0,0.7277936962750716,56.94623351097107,2024-11-20 16:54:54
LinearSVM,6,tfidf,3,100000,,,,0,0,0.778414517669532,0.7254302501678467,2024-11-20 16:55:05
