model,task_no,vectorizer,ngram,max_iter,C,gamma,tree_param,n_estimator,lrate,batch_size,num_epoch,weight_decay,test_accuracy,wall_time,run_time
RbfSVM,28,cbow,3,100000,1.0,auto,,0,0.0,0,0,0.0,0.3705826170009551,277.1457431316376,2024-11-21 16:41:06
RbfSVM,29,cbow,3,100000,100.0,scale,,0,0.0,0,0,0.0,0.7478510028653295,324.6558032035828,2024-11-21 16:47:33
RbfSVM,30,cbow,3,100000,100.0,auto,,0,0.0,0,0,0.0,0.7029608404966571,260.16559290885925,2024-11-21 16:52:53
RbfSVM,31,tfidf,3,100000,0.01,scale,,0,0.0,0,0,0.0,0.3705826170009551,273.38667035102844,2024-11-21 16:58:32
RbfSVM,32,tfidf,3,100000,0.01,auto,,0,0.0,0,0,0.0,0.3705826170009551,303.1250894069672,2024-11-21 17:04:09
RbfSVM,33,tfidf,3,100000,1.0,scale,,0,0.0,0,0,0.0,0.7574021012416428,358.4413809776306,2024-11-21 17:11:17
RbfSVM,34,tfidf,3,100000,1.0,auto,,0,0.0,0,0,0.0,0.3705826170009551,305.20397543907166,2024-11-21 17:17:21
RbfSVM,35,tfidf,3,100000,100.0,scale,,0,0.0,0,0,0.0,0.7574021012416428,521.3094282150269,2024-11-21 17:26:45
RbfSVM,36,tfidf,3,100000,100.0,auto,,0,0.0,0,0,0.0,0.6294173829990449,203.07416987419128,2024-11-21 17:30:50
DecisionTree,1,cbow,1,0,,,full_tree,0,0.0,0,0,0.0,0.6427889207258835,9.080796718597412,2024-11-21 15:31:19
DecisionTree,2,cbow,1,0,,,stop_grow,0,0.0,0,0,0.0,0.6427889207258835,11.186712741851808,2024-11-21 15:31:32
DecisionTree,3,cbow,1,0,,,post_prune,0,0.0,0,0,0.0,0.6427889207258835,11.903186082839966,2024-11-21 15:31:46
DecisionTree,4,tfidf,1,0,,,full_tree,0,0.0,0,0,0.0,0.6638013371537727,14.91514778137207,2024-11-21 15:32:03
DecisionTree,5,tfidf,1,0,,,stop_grow,0,0.0,0,0,0.0,0.6638013371537727,11.013585805892944,2024-11-21 15:32:15
DecisionTree,6,tfidf,1,0,,,post_prune,0,0.0,0,0,0.0,0.6638013371537727,12.293802499771118,2024-11-21 15:32:29
DecisionTree,7,cbow,2,0,,,full_tree,0,0.0,0,0,0.0,0.6504297994269341,108.16748094558716,2024-11-21 15:34:23
DecisionTree,8,cbow,2,0,,,stop_grow,0,0.0,0,0,0.0,0.6504297994269341,147.04037714004517,2024-11-21 15:37:04
DecisionTree,9,cbow,2,0,,,post_prune,0,0.0,0,0,0.0,0.6504297994269341,141.3033323287964,2024-11-21 15:39:40
DecisionTree,10,tfidf,2,0,,,full_tree,0,0.0,0,0,0.0,0.6485195797516714,153.13176441192627,2024-11-21 15:42:26
DecisionTree,11,tfidf,2,0,,,stop_grow,0,0.0,0,0,0.0,0.6485195797516714,142.55947971343994,2024-11-21 15:45:02
DecisionTree,12,tfidf,2,0,,,post_prune,0,0.0,0,0,0.0,0.6485195797516714,173.19256329536438,2024-11-21 15:48:09
DecisionTree,13,cbow,3,0,,,full_tree,0,0.0,0,0,0.0,0.6542502387774594,410.2374811172485,2024-11-21 15:55:25
DecisionTree,14,cbow,3,0,,,stop_grow,0,0.0,0,0,0.0,0.6542502387774594,276.67118668556213,2024-11-21 16:00:27
DecisionTree,15,cbow,3,0,,,post_prune,0,0.0,0,0,0.0,0.6542502387774594,258.8393666744232,2024-11-21 16:05:11
DecisionTree,16,tfidf,3,0,,,full_tree,0,0.0,0,0,0.0,0.6332378223495702,444.6584982872009,2024-11-21 16:13:04
DecisionTree,17,tfidf,3,0,,,stop_grow,0,0.0,0,0,0.0,0.6332378223495702,310.30344796180725,2024-11-21 16:18:40
DecisionTree,18,tfidf,3,0,,,post_prune,0,0.0,0,0,0.0,0.6332378223495702,365.82070302963257,2024-11-21 16:25:12
"Ensemble (LR, RBF, DT)",1,tfidf,1,100000,,,full_tree,0,0.0,0,0,0.0,0.736389685,130.7433567,11/22/2024 19:52
"Ensemble  (LR, SVM LR, RBF, DT)",1,tfidf,1,100000,,,full_tree,0,0.0,0,0,0.0,0.714422159,237.0044925,11/22/2024 17:34
"Ensemble  (LR, SVM LR, RBF, DT)",2,tfidf,2,100000,,,full_tree,0,0.0,0,0,0.0,0.702005731,773.3928502,11/22/2024 17:48
"Ensemble  (LR, SVM LR, RBF, DT)",3,tfidf,3,100000,,,full_tree,0,0.0,0,0,0.0,0.679083095,1923.732869,11/22/2024 18:21
"Ensemble (LR, RBF, DT)",2,tfidf,2,100000,,,full_tree,0,0.0,0,0,0.0,0.672397326,320.8575351,11/22/2024 19:58
"Ensemble (LR, RBF, DT)",3,tfidf,3,100000,,,full_tree,0,0.0,0,0,0.0,0.664756447,515.3735387,11/22/2024 20:07
distilbert,1,wordpiece,0,0,0.0,,,0,2e-05,16,3,0.01,0.919694073,306.824,11/23/2024 6:16
