model,task_no,vectorizer,ngram,max_iter,C,gamma,tree_param,n_estimator,lrate,test_accuracy,wall_time,run_time
LogisticRegression,1,cbow,1,100000,,,,0,0,0.7440305635148042,1.8631772994995117,2024-11-20 16:52:44
LogisticRegression,2,tfidf,1,100000,,,,0,0,0.7554918815663801,0.13300871849060059,2024-11-20 16:52:46
LogisticRegression,3,cbow,2,100000,,,,0,0,0.7554918815663801,6.903831481933594,2024-11-20 16:52:59
LogisticRegression,4,tfidf,2,100000,,,,0,0,0.7745940783190067,1.3000221252441406,2024-11-20 16:53:07
LogisticRegression,5,cbow,3,100000,,,,0,0,0.7640878701050621,15.394227981567383,2024-11-20 16:53:35
LogisticRegression,6,tfidf,3,100000,,,,0,0,0.7688634192932188,4.076372146606445,2024-11-20 16:53:51
