movieid,movie_title,movie_release_date,movie_genre,movie_rating,movie_href,movie_desc,movie_cast,movie_tag,budget,revenue,page_count,download_flag
19995-avatar,Avatar,2010-08-26,Action|Adventure|Fantasy|Science Fiction|,76,/movie/19995-avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Sam Worthington|Zoe Saldaña|Sigourney Weaver|Stephen Lang|Michelle Rodriguez|Giovanni Ribisi|Joel David Moore|CCH Pounder|Wes Studi|,paraplegic|culture clash|attachment to nature|indigenous|space colony|space travel|tribe|alien planet|distant future|marine|battle|love affair|scientist|nature|native peoples|power relations|meditative|tribal customs|tribal people|tribal chief|deity|spiritual community|22nd century|save the planet|racial discrimination|soldiers|hopeful|,237000000.0,2923706026.0,1,6
299534-avengers-endgame,Avengers: Endgame,2019-04-24,Adventure|Science Fiction|Action|,82,/movie/299534-avengers-endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos\' actions and restore order to the universe once and for all, no matter what consequences may be in store.",Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson|Jeremy Renner|Josh Brolin|Don Cheadle|Paul Rudd|,space travel|time travel|time machine|sequel|superhero|based on comic|alien invasion|superhero team|marvel cinematic universe (mcu)|alternate timeline|father daughter relationship|sister sister relationship|grand|awestruck|baffled|powerful|vibrant|,356000000.0,2799439100.0,1,10
